hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag
HV0003,B03404,B03404,2023-08-07 15:46:54,2023-08-07 15:49:13,2023-08-07 15:49:36,2023-08-07 16:04:14,9,92,2.76,878,17.82,0.0,0.49,1.58,0.0,0.0,0.0,11.88,N,N, ,N,N
HV0003,B03404,B03404,2023-08-11 17:59:27,2023-08-11 18:04:56,2023-08-11 18:05:15,2023-08-11 18:47:06,261,61,6.18,2511,29.02,0.0,0.8,2.58,2.75,0.0,3.51,31.83,N,N, ,N,N
HV0003,B03404,B03404,2023-08-24 13:41:55,2023-08-24 13:43:51,2023-08-24 13:44:48,2023-08-24 14:00:17,75,41,1.54,929,11.62,0.0,0.32,1.03,0.0,0.0,0.0,10.8,N,N, ,N,N
HV0005,B03406,,2023-08-31 15:22:38,,2023-08-31 15:26:27,2023-08-31 16:22:32,164,181,6.641,3365,51.96,0.84,1.45,4.69,2.75,0.0,15.42,40.73,N,N,N,N,N
HV0003,B03404,B03404,2023-08-23 09:29:51,2023-08-23 09:39:02,2023-08-23 09:39:47,2023-08-23 09:48:21,71,89,1.7,514,10.17,0.0,0.28,0.9,0.0,0.0,0.0,7.18,Y,N, ,N,N
HV0003,B03404,B03404,2023-08-18 13:56:30,2023-08-18 14:00:04,2023-08-18 14:00:43,2023-08-18 14:13:39,101,38,6.32,776,19.35,0.0,0.53,1.72,0.0,0.0,0.0,15.75,Y,N, ,N,N
HV0005,B03406,,2023-08-05 11:31:58,,2023-08-05 11:35:48,2023-08-05 11:51:57,29,22,2.86,969,11.39,0.0,0.31,1.01,0.0,0.0,0.0,13.98,N,N,N,N,Y
HV0003,B03404,B03404,2023-08-14 14:59:51,2023-08-14 15:01:31,2023-08-14 15:02:00,2023-08-14 15:14:52,225,37,1.97,772,12.5,0.0,0.34,1.11,0.0,0.0,0.0,9.87,N,N, ,N,N
HV0003,B03404,B03404,2023-08-26 21:19:46,2023-08-26 21:23:31,2023-08-26 21:23:34,2023-08-26 21:37:01,225,177,2.03,807,13.35,0.0,0.37,1.18,0.0,0.0,0.0,10.44,N,N, ,N,N
HV0003,B03404,B03404,2023-08-21 07:21:26,2023-08-21 07:21:58,2023-08-21 07:23:29,2023-08-21 07:28:35,218,132,2.24,306,8.08,0.0,0.26,0.83,0.0,1.25,0.0,5.82,Y,N, ,N,N
