Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day
2021-06-09,56.94,57.11,55.36,55.38,55.38,4140800,2021,6,9
2021-06-10,56.13,56.2,54.54,55.66,55.66,4991300,2021,6,10
2021-06-11,55.73,56.4,55.13,56.11,56.11,3654300,2021,6,11
2021-06-12,55.73,56.4,55.13,56.11,56.11,0,2021,6,12
2021-06-13,55.73,56.4,55.13,56.11,56.11,0,2021,6,13
2021-06-14,56.3,60.3,56.2,58.41,58.41,8750900,2021,6,14
2021-06-15,57.95,58.27,56.7,57.82,57.82,4098600,2021,6,15
2021-06-16,57.83,57.96,56.04,56.97,56.97,3881200,2021,6,16
2021-06-17,56.75,59.68,56.62,58.8,58.8,5242500,2021,6,17
2021-06-18,58.8,59.61,57.69,58.48,58.48,4640500,2021,6,18
2021-06-19,58.8,59.61,57.69,58.48,58.48,0,2021,6,19
2021-06-20,58.8,59.61,57.69,58.48,58.48,0,2021,6,20
2021-06-21,59.18,59.85,57.79,59.5,59.5,4559500,2021,6,21
2021-06-22,59.38,59.68,58.04,59.06,59.06,3429700,2021,6,22
2021-06-23,59.54,61.93,59.3,61.41,61.41,4918400,2021,6,23
2021-06-24,61.25,61.97,60.17,61.78,61.78,3747000,2021,6,24
2021-06-25,62.09,62.39,60.66,61.5,61.5,10442700,2021,6,25
2021-06-26,62.09,62.39,60.66,61.5,61.5,0,2021,6,26
2021-06-27,62.09,62.39,60.66,61.5,61.5,0,2021,6,27
2021-06-28,61.5,61.56,58.59,58.73,58.73,5371000,2021,6,28
2021-06-29,59.18,60.25,58.55,59.99,59.99,3530900,2021,6,29
2021-06-30,59.66,61.38,59.66,60.48,60.48,3741600,2021,6,30
2021-07-01,61.29,62.9,60.84,61.87,61.87,5423300,2021,7,1
2021-07-02,62.0,63.07,61.61,62.79,62.79,3507400,2021,7,2
2021-07-03,62.0,63.07,61.61,62.79,62.79,0,2021,7,3
2021-07-04,62.0,63.07,61.61,62.79,62.79,0,2021,7,4
2021-07-05,62.0,63.07,61.61,62.79,62.79,0,2021,7,5
2021-07-06,62.62,63.0,60.98,61.64,61.64,4470600,2021,7,6
2021-07-07,61.73,61.88,58.03,58.75,58.75,5801300,2021,7,7
2021-07-08,57.41,58.96,56.54,58.55,58.55,4062400,2021,7,8
2021-07-09,59.22,60.21,58.56,60.06,60.06,2677400,2021,7,9
2021-07-10,59.22,60.21,58.56,60.06,60.06,0,2021,7,10
2021-07-11,59.22,60.21,58.56,60.06,60.06,0,2021,7,11
2021-07-12,60.0,60.3,58.01,58.07,58.07,3104400,2021,7,12
2021-07-13,57.73,58.12,56.8,57.07,57.07,3346400,2021,7,13
2021-07-14,57.5,57.73,55.42,55.83,55.83,4103800,2021,7,14
2021-07-15,55.86,56.13,54.22,54.73,54.73,3593600,2021,7,15
